Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Cream cheese, light",14303010,8006,"Cream cheese, sour cream, whipped cream",264,9.09,5.59,4.33,0,22.66,13.348,4.697,1.008,71,186,186,0,4,0,0,5,0.039,0.242,0.138,0.043,0,18,18,18,39.6,0.32,0,0,0,0.58,0,1.5,182,246,13,0.06,0.89,0.012,7.4,176,479,0,0,0,0.497,0.404,0.258,0.59,0.688,2.181,6.221,2.045,0.438,5.262,0.043,0.001,0.486,0.089,0.001,0.036,0.007,0.014,0,60.44
"Cream of wheat, NFS",56206990,4804,Grits and other cooked cereals,65,1.44,10.39,0.04,0.5,1.8,0.722,0.448,0.365,3,16,17,0,7,0,0,2,0.054,0.025,0.513,0.037,8,3,17,12,3.5,0,0,0,0,0.17,0,1,86,15,5,3.69,0.13,0.037,2.7,16,83,0,0,0,0.026,0.018,0.011,0.025,0.029,0.092,0.358,0.14,0.014,0.421,0.003,0,0.327,0.038,0,0.001,0,0.001,0,85.99
Creamsicle,13140700,5802,Ice cream and frozen dairy desserts,165,1.54,32.75,18.46,0,3.08,1.813,0.819,0.137,8,92,93,0,10,2,0,2,0.045,0.206,0.113,0.038,0,6,6,6,20.4,0.36,0,13.8,0.1,0.09,0,0.3,62,84,12,0,0.66,0.02,1.8,174,46,0,0,0,0.099,0.056,0.044,0.072,0.075,0.296,0.823,0.349,0.05,0.768,0,0,0.088,0.049,0,0,0,0,0,61.77
Creme brulee,13210370,5804,Pudding,113,4.06,17.85,17.86,0,2.83,1.391,0.732,0.226,45,67,67,0,4,1,0,45,0.043,0.159,0.097,0.046,0,6,6,6,36.1,0.34,0,0,1.2,0.12,0,0.2,115,107,12,0.16,0.49,0.002,4.6,150,74,0,0,0,0.041,0.032,0.02,0.049,0.057,0.183,0.718,0.257,0.05,0.713,0.002,0,0.197,0.008,0,0.003,0,0.001,0,74.41
"Crepe, chocolate filled",53430100,4404,"Pancakes, waffles, French toast",170,4.87,22.92,12.25,0.2,6.52,1.847,3.072,0.892,63,64,66,0,14,2,0,76,0.101,0.172,0.66,0.038,8,11,25,20,52.7,0.29,0,0.2,0.7,0.54,0,2.4,69,95,18,1.52,0.55,0.069,6.5,178,219,1,41,0,0.012,0.009,0.006,0.013,0.016,0.058,1.012,0.68,0.046,3.02,0.009,0,0.794,0.049,0,0.001,0,0,0,64.57
"Crepe, fruit filled",53430200,4404,"Pancakes, waffles, French toast",188,4.57,26.55,15.98,1.2,7.12,1.778,2.939,1.783,74,90,94,0,47,2,0,121,0.118,0.172,0.857,0.053,10,14,30,23,58.3,0.28,0,3.2,1,0.92,0,12.9,51,78,11,1.04,0.45,0.036,7.8,117,176,0,0,0,0.013,0.01,0.007,0.016,0.018,0.066,1.056,0.545,0.054,2.881,0.008,0,1.583,0.142,0,0.001,0,0.001,0,60.86
"Crepe, NFS",55400010,4404,"Pancakes, waffles, French toast",224,8.85,22.02,4.48,0.6,11.29,3.444,4.113,2.508,153,98,98,0,2,5,0,184,0.213,0.313,1.426,0.067,20,23,57,43,114,0.57,0,0,1.5,0.79,0,3.6,95,150,17,1.87,0.86,0.035,15.8,169,278,0,0,0,0.027,0.021,0.013,0.033,0.038,0.141,1.966,1.114,0.105,4.009,0.007,0,2.26,0.129,0,0.002,0,0.001,0,56.43
"Cress, cooked",72110221,6411,Other dark green vegetables,58,2.72,5.73,4.58,1.1,3.47,0.74,1.22,1.023,2,12,354,0,4109,0,0,12361,0.075,0.257,0.989,0.262,0,63,63,63,20.5,0,0,50.3,0,1.14,0,566.3,85,79,40,1.36,0.24,0.177,0.9,631,145,0,0,0,0.019,0.014,0.008,0.018,0.022,0.069,0.408,0.154,0.015,1.026,0.076,0.095,0.856,0.166,0,0.001,0,0,0,85.88
"Cress, raw",72110100,6411,Other dark green vegetables,32,2.6,5.5,4.4,1.1,0.7,0.023,0.239,0.228,0,0,346,0,4150,0,0,12500,0.08,0.26,1,0.247,0,80,80,80,19.5,0,0,69,0,0.7,0,541.9,81,76,38,1.3,0.23,0.17,0.9,606,14,0,0,0,0,0,0,0,0,0,0.016,0.007,0,0.087,0.061,0.091,0.152,0.076,0,0,0,0,0,89.4
"Cucumber, raw",75111000,6420,Other vegetables and combinations,16,0.62,2.95,1.67,0.5,0.18,0.037,0.005,0.032,0,0,5,11,45,26,0,23,0.027,0.033,0.098,0.04,0,7,7,7,6,0,0,2.8,0,0.03,0,24,16,23,10,0,0.2,0.063,0.3,170,2,0,0,0,0,0,0,0,0,0.005,0.028,0.005,0,0.005,0,0,0.028,0.005,0,0,0,0,0,95.87
Custard,13210300,5804,Pudding,97,5.08,10.97,10.89,0,3.64,1.647,1.039,0.383,80,81,82,0,4,2,0,89,0.048,0.19,0.095,0.05,0,10,10,10,59.1,0.41,0,0,1.4,0.22,0,0.2,117,121,12,0.3,0.59,0.001,7.2,158,84,0,0,0,0.04,0.031,0.02,0.048,0.056,0.182,0.909,0.324,0.07,0.996,0.002,0,0.323,0.009,0,0.003,0,0.001,0,79.42
Dark chocolate candy with nuts,91705315,5702,Candy containing chocolate,560,8.26,52.18,37.88,7.9,36.27,16.013,14.456,3.477,6,0,2,6,20,1,0,25,0.036,0.28,1.325,0.06,0,11,11,11,32.5,0.18,0,0,0,5.22,0,6.4,99,265,177,7.25,2.35,1.081,3.2,597,19,38,412,0,0.043,0.034,0.022,0.066,0.059,0.201,6.93,8.246,0.142,14.273,0.016,0,3.401,0.068,0,0.002,0.001,0,0,1.28
"Dark chocolate candy with nuts, other, NFS",91705312,5702,Candy containing chocolate,560,8.26,52.18,37.88,7.9,36.27,16.013,14.456,3.477,6,0,2,6,20,1,0,25,0.036,0.28,1.325,0.06,0,11,11,11,32.5,0.18,0,0,0,5.22,0,6.4,99,265,177,7.25,2.35,1.081,3.2,597,19,38,412,0,0.043,0.034,0.022,0.066,0.059,0.201,6.93,8.246,0.142,14.273,0.016,0,3.401,0.068,0,0.002,0.001,0,0,1.28
"Dip, NFS",12350010,8412,"Dips, gravies, other sauces",432,2.55,3.94,2.48,0.3,45.18,10.924,10.044,22.115,47,82,83,0,14,2,0,31,0.031,0.129,0.154,0.034,0,8,8,8,28,0.12,0,1.7,0.1,1.86,0,93.1,79,73,10,0.32,0.35,0.018,3.2,126,718,0,0,0,0.017,0.1,0.071,0.185,0.267,0.882,6.313,2.288,0.187,10.014,0.13,0.011,19.203,2.703,0,0.036,0.003,0.005,0.003,45.83
Dirty rice,58163130,3202,Rice mixed dishes,112,5.12,17.25,0.87,0.6,2.25,0.403,0.784,0.702,53,207,208,1,11,1,1,18,0.123,0.17,1.745,0.106,30,32,84,62,17.5,1.07,0,5.4,0,0.39,0,2.8,15,63,9,1.77,0.78,0.098,10.3,85,316,0,0,0,0,0,0,0,0,0.003,0.272,0.112,0.018,0.752,0.012,0,0.591,0.073,0,0.035,0,0,0,74.33
"Doughnut, NFS",53520000,5506,"Doughnuts, sweet rolls, pastries",426,5.52,49.52,23.51,1.8,22.86,9.852,7.567,3.601,20,4,4,0,2,0,0,27,0.336,0.232,2.648,0.041,69,27,144,96,31.8,0.08,0,0.6,0,1.63,0,10.3,69,178,16,2.36,0.54,0.086,12.5,113,378,0,0,0,0,0,0.012,0.018,0.113,0.213,8.027,1.318,0.044,7.471,0.046,0,3.359,0.223,0,0.008,0,0,0.005,20.62
"Dove, fried",24402110,2206,"Turkey, duck, other poultry",223,23.06,1.46,0.11,0,13.84,3.928,5.788,3.005,114,30,30,0,0,0,0,5,0.28,0.346,7.317,0.543,2,7,9,8,63.7,0.4,0,2.8,0.2,0.15,0,4.5,20,321,26,5.72,3.67,0.727,19.7,250,197,0,0,0,0,0,0,0,0.005,0.085,2.58,1.129,0.645,4.996,0.096,0,2.587,0.118,0,0.107,0.005,0.042,0.014,60.19
"Dried, fruit, NFS",62101050,6016,Dried fruits,298,2.28,78.62,66.33,4.8,0.62,0.104,0.153,0.111,0,0,25,1,303,3,0,47,0.065,0.087,1.006,0.146,0,10,10,10,11.8,0,0,5.5,0,1.52,0,5.7,39,64,24,1.3,0.28,0.219,0.9,531,32,0,0,0,0.004,0,0,0.004,0.001,0.006,0.062,0.014,0.024,0.126,0.002,0.002,0.081,0.03,0,0,0,0,0,17.22
"Duck egg, cooked",31201000,2502,Eggs and omelets,224,11.96,1.36,0.88,0,18.55,4.927,8.11,2.78,828,204,206,0,24,11,0,428,0.117,0.358,0.168,0.258,0,56,56,56,196.9,4.03,0,0,1.6,2.1,0,5.1,60,206,16,3.6,1.32,0.058,33.9,208,264,0,0,0,0.04,0.028,0.017,0.038,0.045,0.194,3.61,0.895,0.443,7.623,0.027,0,1.978,0.277,0,0.299,0,0.001,0,66.74
Duck sauce,91361050,8406,Mustard and other condiments,245,0.36,60.66,30.54,0.6,0.13,0.051,0.018,0.027,0,0,8,0,100,0,0,1,0.023,0.014,0.239,0.032,0,2,2,2,1.7,0,0,0.9,0,0.2,0,0.3,11,9,5,0.39,0.21,0.037,1.3,87,712,0,0,0,0,0,0,0.029,0.001,0.001,0.013,0.004,0.001,0.015,0,0.001,0.023,0.004,0,0,0,0,0,37.44
Dulce de leche,13252200,5804,Pudding,315,6.84,55.35,49.74,0,7.35,4.534,2.143,0.375,29,73,74,0,14,0,0,0,0.016,0.405,0.21,0.016,0,11,11,11,89.1,0.31,0,2.6,0.2,0.2,0,1.3,251,193,22,0.17,0.79,0.004,2.7,350,129,0,0,0,0.176,0.135,0.082,0.207,0.211,0.75,2.007,0.805,0.163,1.895,0.017,0,0.288,0.052,0.003,0.009,0.004,0.009,0,28.71
Egg burrito,34003100,3706,Egg/breakfast sandwiches,249,10.91,20.06,1.75,1.4,13.71,4.429,4.457,3.223,212,109,110,0,6,7,0,256,0.229,0.336,1.725,0.058,31,34,86,64,138.6,0.52,0,0,1.5,1.24,0,6.7,148,215,16,2.28,1.06,0.043,25.9,126,470,0,0,0,0.045,0.035,0.022,0.052,0.063,0.228,2.71,1.167,0.17,4.256,0.038,0,2.791,0.256,0,0.003,0.001,0.001,0,53.38
"Egg casserole with bread, cheese, milk and meat",32105190,2502,Eggs and omelets,175,11.43,10.22,2.77,0.4,9.75,3.901,3.199,1.489,114,84,84,0,1,3,0,113,0.162,0.247,2.152,0.122,10,16,32,26,80.5,0.49,0,0,1.1,0.44,0,0.5,142,178,17,1.15,1.32,0.042,19.6,184,420,0,0,0,0.065,0.053,0.035,0.084,0.098,0.354,2.205,0.918,0.186,3.013,0.043,0.001,1.295,0.071,0,0.026,0.001,0.004,0.001,66.72
"Egg foo yung, NFS",32105200,3404,Stir-fry and soy-based sauce mixtures,125,11.69,5.2,3.07,0.3,6.16,1.712,2.248,1.476,234,101,107,0,59,6,0,326,0.042,0.19,0.794,0.099,0,35,35,35,160.1,0.81,0,1.7,1.1,1.35,0,23.4,54,167,18,1,1.02,0.081,26.6,143,340,0,0,0,0,0,0,0,0.003,0.021,1.216,0.433,0.119,2.075,0.011,0,1.155,0.068,0,0.018,0.035,0.003,0.037,74.97
"Egg roll, meatless",58110110,3406,"Egg rolls, dumplings, sushi",270,5.62,30.02,5.63,2.3,14.14,2.085,4.914,6.121,0,0,46,169,467,0,9,141,0.264,0.231,2.38,0.09,5,62,71,67,13.9,0,0,6.3,0,2.14,0,44.8,47,68,22,1.86,0.42,0.091,10.5,210,463,0,0,0,0,0,0.001,0.007,0.004,0.016,1.461,0.474,0.038,4.792,0.076,0,5.435,0.676,0,0.004,0,0,0,48.38
Egg sandwich on English muffin,34001300,3706,Egg/breakfast sandwiches,230,11.74,20.63,2.07,1.5,11.2,4.659,3.346,1.732,170,118,120,0,17,6,0,211,0.238,0.317,1.812,0.073,24,40,81,64,111.5,0.55,0,0.8,1.5,0.99,0,2.9,229,200,19,2.46,1.41,0.064,25.1,122,444,0,0,0,0.108,0.083,0.054,0.123,0.181,0.491,2.499,1.003,0.176,3.19,0.022,0,1.483,0.118,0,0.007,0.001,0.003,0,54.4
"Egg sandwich on English muffin, with bacon",34001320,3706,Egg/breakfast sandwiches,255,14.08,18.64,1.85,1.4,13.72,5.428,4.628,2.193,163,107,108,0,15,5,0,189,0.272,0.308,2.722,0.122,22,36,72,57,109.2,0.61,0,0.7,1.4,0.93,0,2.6,206,219,21,2.31,1.58,0.069,27.8,161,574,0,0,0,0.096,0.074,0.048,0.11,0.162,0.485,3.04,1.284,0.239,4.364,0.05,0.001,1.888,0.13,0,0.024,0.002,0.005,0.001,51.17
"Egg sandwich on English muffin, with ham",34001330,3706,Egg/breakfast sandwiches,222,12.17,19.32,2.03,1.4,10.74,4.437,3.253,1.65,162,111,112,0,15,6,0,197,0.246,0.308,2.085,0.095,23,37,75,60,109,0.54,0,0.7,1.5,0.93,0,2.7,214,204,19,2.35,1.44,0.066,25.7,135,495,0,0,0,0.1,0.077,0.05,0.115,0.169,0.46,2.39,0.965,0.172,3.097,0.022,0,1.413,0.112,0,0.01,0.001,0.003,0,55.65
"Egg sandwich on English muffin, with sausage",34001310,3706,Egg/breakfast sandwiches,264,12.89,16.04,1.8,1.2,16.52,6.233,5.966,2.783,150,97,98,0,13,5,0,161,0.24,0.284,2.71,0.102,19,31,62,49,98.8,0.63,0,0.6,1.5,0.93,0,2.3,178,186,18,2.14,1.59,0.067,23.7,165,501,0,0,0,0.082,0.063,0.041,0.101,0.144,0.473,3.586,1.604,0.299,5.582,0.102,0.001,2.416,0.136,0,0.036,0.001,0.009,0.001,52.41
Egg sandwich on wheat bread,34001200,3706,Egg/breakfast sandwiches,226,11.48,24.13,2.81,2.8,9.25,2.518,2.929,2.413,185,92,92,0,6,6,0,257,0.235,0.289,2.548,0.128,8,54,67,62,130.8,0.36,0,0.1,1.1,1.06,0,5.3,106,169,34,2.39,1.26,0.1,28.3,158,348,0,0,0,0.019,0.013,0.009,0.02,0.026,0.086,1.654,0.633,0.13,2.753,0.02,0,2.084,0.17,0,0.002,0.001,0,0,53.41
"Egg sandwich on wheat bread, with cheese",34001210,3706,Egg/breakfast sandwiches,246,12.86,21.18,2.81,2.4,12.21,4.653,3.465,2.203,170,118,120,0,17,6,0,221,0.203,0.301,2.171,0.12,6,48,59,54,113.8,0.53,0,0.1,1.5,1,0,4.9,229,232,34,2.09,1.54,0.089,27.4,157,450,0,0,0,0.108,0.083,0.053,0.124,0.148,0.479,2.564,0.968,0.183,3.297,0.028,0,1.907,0.163,0,0.008,0.002,0.003,0,51.49
"Egg sandwich on wheat bread, with meat",34001220,3706,Egg/breakfast sandwiches,266,12.86,17.99,2.3,2.1,15.8,4.875,6.01,3.422,158,74,75,0,5,4,0,189,0.238,0.26,3.369,0.146,6,40,49,45,111.2,0.51,0,0,1.2,0.98,0,3.9,81,162,29,2.04,1.5,0.093,25.8,197,439,0,0,0,0.014,0.01,0.007,0.022,0.026,0.175,3.112,1.414,0.281,5.582,0.112,0.001,2.981,0.176,0,0.037,0.001,0.008,0.001,51.42
"Egg sandwich on wheat bread, with meat and cheese",34001230,3706,Egg/breakfast sandwiches,277,13.75,16.46,2.36,1.8,17.29,6.229,6.056,3.143,150,97,98,0,13,5,0,169,0.213,0.272,2.984,0.138,5,37,45,42,100.5,0.62,0,0,1.5,0.94,0,3.7,177,211,29,1.85,1.69,0.086,25.4,192,506,0,0,0,0.082,0.063,0.041,0.102,0.119,0.464,3.635,1.577,0.304,5.664,0.107,0.001,2.74,0.17,0,0.037,0.002,0.009,0.001,50.18
Egg sandwich on white bread,34001100,3706,Egg/breakfast sandwiches,228,10.46,26.1,2.88,1.2,9.05,2.57,2.962,2.572,185,92,92,0,5,6,0,247,0.292,0.303,2.483,0.092,45,37,113,82,127.3,0.36,0,0,1.1,0.99,0,2.5,132,141,19,2.5,1.01,0.065,26,120,353,0,0,0,0.021,0.014,0.011,0.021,0.028,0.09,1.682,0.64,0.132,2.797,0.019,0,2.225,0.196,0,0.002,0.001,0,0,52.76
"Egg sandwich on white bread, with cheese",34001110,3706,Egg/breakfast sandwiches,248,11.99,22.85,2.87,1,12.04,4.698,3.493,2.337,170,118,120,0,17,6,0,212,0.251,0.312,2.117,0.09,38,33,98,71,110.9,0.53,0,0,1.5,0.95,0,2.5,251,209,21,2.18,1.33,0.059,25.4,125,455,0,0,0,0.11,0.083,0.055,0.125,0.15,0.482,2.588,0.974,0.186,3.334,0.026,0,2.026,0.185,0,0.008,0.002,0.003,0,50.94
"Egg sandwich on white bread, with meat",34001120,3706,Egg/breakfast sandwiches,267,12.1,19.44,2.35,0.9,15.65,4.914,6.035,3.538,158,74,75,0,4,4,0,181,0.281,0.27,3.322,0.12,33,27,83,60,108.6,0.51,0,0,1.2,0.93,0,1.8,100,142,18,2.12,1.32,0.067,24.1,170,443,0,0,0,0.016,0.01,0.008,0.023,0.028,0.178,3.133,1.419,0.283,5.615,0.11,0.001,3.084,0.196,0,0.037,0.001,0.008,0.001,50.94
"Egg sandwich on white bread, with meat and cheese",34001130,3706,Egg/breakfast sandwiches,278,13.08,17.74,2.4,0.8,17.16,6.263,6.078,3.245,150,97,98,0,13,5,0,162,0.25,0.281,2.943,0.115,29,26,75,55,98.3,0.62,0,0,1.5,0.9,0,1.9,194,193,19,1.92,1.53,0.063,24,168,510,0,0,0,0.084,0.063,0.043,0.103,0.121,0.467,3.654,1.582,0.306,5.692,0.105,0.001,2.831,0.188,0,0.037,0.002,0.009,0.001,49.76
"Egg, Benedict",32101500,2502,Eggs and omelets,288,13.81,8.48,1.17,0.6,22.1,10.251,6.146,2.036,271,228,232,4,49,8,0,249,0.264,0.241,3.198,0.124,8,33,46,41,167.9,0.49,0,1.4,1.4,1.14,0,3.5,58,185,15,1.56,1.19,0.047,30.4,325,468,0,0,0,0.349,0.246,0.145,0.332,0.391,1.256,5.279,1.977,0.342,5.617,0.036,0.002,1.746,0.122,0.003,0.072,0.005,0.008,0.01,53.51
"Egg, white only, raw",31108010,2502,Eggs and omelets,52,10.7,2.36,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.391,0.105,0.005,0,4,4,4,1.1,0.09,0,0,0,0,0,0,7,15,11,0.08,0.03,0.023,17.9,163,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3
"Egg, whole, raw",31101010,2502,Eggs and omelets,143,12.4,0.96,0.2,0,9.96,3.2,3.63,1.82,411,179,180,0,0,13,0,503,0.077,0.419,0,0.063,0,71,71,71,335,1.02,0,0,2.5,1.05,0,0.3,48,184,11,1.67,1.24,0,31.1,132,129,0,0,0,0,0,0,0,0,0.032,2.32,0.813,0.238,3.35,0,0,1.46,0.011,0,0,0,0,0,75.8
"Egg, yolk only, raw",31110010,2502,Eggs and omelets,328,16.2,1.02,0.56,0,28.8,9.551,11.738,4.204,1085,371,381,38,88,33,2,1094,0.176,0.467,0.024,0.35,0,146,146,146,820.2,1.95,0,0,5.4,5.64,0,0.7,129,390,5,2.73,2.3,0.077,55.8,109,48,0,0,0,0,0,0.009,0.009,0.009,0.104,6.86,2.417,0.918,10.701,0.086,0.009,3.538,0.103,0,0.438,0.011,0,0.114,52.1
Eggnog,11531000,1402,Milk shakes and other dairy drinks,88,4.55,8.05,8.05,0,4.19,2.591,1.302,0.198,59,58,59,0,7,0,0,54,0.034,0.19,0.105,0.05,0,1,1,1,52.2,0.45,0,1.5,1.2,0.21,0,0.3,130,109,19,0.2,0.46,0.013,4.2,165,54,0,0,0,0.129,0.076,0.044,0.1,0.112,0.401,1.131,0.511,0.101,1.142,0,0,0.132,0.059,0,0.003,0,0,0,82.54
"Eggplant, raw",75111200,6420,Other vegetables and combinations,25,0.98,5.88,3.53,3,0.18,0.034,0.016,0.076,0,0,1,0,14,0,0,36,0.039,0.037,0.649,0.084,0,22,22,22,6.9,0,0,2.2,0,0.3,0,3.5,9,24,14,0.23,0.16,0.081,0.3,229,2,0,0,0,0,0,0,0,0,0,0.025,0.009,0.002,0.014,0,0,0.063,0.013,0,0,0,0,0,92.3
"Empanada, beef",58116117,3208,Turnovers and other grain-based items,333,12.09,27.45,2.1,1.6,19.2,6.915,8.58,1.819,31,12,12,0,0,0,0,0,0.163,0.145,3.284,0.179,22,13,50,35,33.9,0.82,0,1.3,0,0.32,0,4.1,50,125,18,2.04,2.3,0.091,11.3,187,459,0,0,0,0.038,0.02,0.014,0.035,0.049,0.399,3.898,2.272,0.396,8.077,0.085,0,1.657,0.093,0,0.024,0.001,0.003,0,39.61
"Empanada, chicken",58116125,3208,Turnovers and other grain-based items,309,12.57,27.45,2.1,1.6,16.46,5.634,7.289,2.118,42,14,14,0,0,0,0,2,0.174,0.147,3.993,0.257,22,11,49,33,36.1,0.15,0,1.3,0,0.34,0,4.8,46,133,20,1.53,0.85,0.082,12.7,185,460,0,0,0,0.038,0.02,0.015,0.035,0.046,0.268,3.289,1.801,0.343,6.921,0.083,0,1.929,0.091,0,0.037,0.002,0.003,0.002,42.15
"Empanada, NFS",58116100,3208,Turnovers and other grain-based items,291,7.19,29.91,2.75,2,16,5.655,7.139,1.75,13,11,16,12,51,12,258,83,0.159,0.116,2.414,0.116,22,16,53,38,19.7,0.32,0,3.5,0,0.35,0,4.7,47,95,18,1.62,1.14,0.086,6.6,176,446,0,0,0,0.038,0.02,0.014,0.033,0.046,0.304,3.185,1.876,0.276,6.821,0.077,0,1.612,0.08,0,0.015,0,0.001,0,45.27
"Enchilada sauce, red",74402250,8402,Tomato-based condiments,30,0.62,4.87,1.83,0.5,0.91,0.111,0.068,0.276,0,0,36,74,362,62,994,103,0.04,0.055,0.388,0.059,0,5,5,5,0.9,0,0,0.3,0,0.7,0,2.8,7,11,6,0.67,0.09,0.031,0.4,101,547,0,0,0,0,0,0,0.003,0,0.005,0.067,0.029,0.001,0.064,0.003,0,0.245,0.031,0,0,0,0,0,91.78
"Enchilada, NFS",58102800,3506,Other Mexican mixed dishes,178,10.03,14.64,0.79,2.3,9.02,3.22,2.753,1.916,33,30,37,15,72,13,198,22,0.065,0.119,1.798,0.206,0,10,10,10,25.2,0.2,0,0.2,0,0.83,0,4.6,116,192,34,0.86,1.14,0.079,10.2,190,459,0,0,0,0.1,0.053,0.038,0.088,0.119,0.375,1.78,0.561,0.171,2.712,0.031,0,1.683,0.199,0,0.019,0.001,0.003,0.001,64.4
"Fajita, NFS",58104990,3506,Other Mexican mixed dishes,219,11.7,17.99,2.44,1.5,11.02,2.678,4.184,3.006,32,2,21,4,196,53,0,45,0.197,0.2,3.767,0.202,25,16,58,41,24.4,0.51,0,23.9,0,1.3,0,9.2,54,137,18,1.73,1.74,0.076,16.1,190,455,0,0,0,0,0,0,0.002,0.003,0.073,1.692,0.811,0.172,3.916,0.048,0,2.665,0.318,0,0.014,0,0.002,0,57.78
"Fennel bulb, raw",75109010,6420,Other vegetables and combinations,31,1.24,7.3,3.93,3.1,0.2,0.09,0.068,0.169,0,0,48,0,578,0,0,607,0.01,0.032,0.64,0.047,0,27,27,27,13.2,0,0,12,0,0.58,0,62.8,49,50,17,0.73,0.2,0.066,0.7,414,52,0,0,0,0,0,0,0,0,0.002,0.079,0.009,0.002,0.065,0,0,0.169,0,0,0,0,0,0,90.21
"Fig, raw",63119010,6018,Other fruits and fruit salads,74,0.75,19.18,16.26,2.9,0.3,0.06,0.066,0.144,0,0,7,0,85,0,0,9,0.06,0.05,0.4,0.113,0,6,6,6,4.7,0,0,2,0,0.11,0,4.7,35,14,17,0.37,0.15,0.07,0.2,232,1,0,0,0,0,0,0,0,0,0.002,0.046,0.012,0,0.066,0,0,0.144,0,0,0,0,0,0,79.11
"Firni, Indian pudding",13210450,5804,Pudding,144,3.58,25.13,15.66,0.3,3.11,1.491,0.872,0.236,9,24,24,0,6,0,0,4,0.087,0.122,0.585,0.057,16,1,28,17,11.5,0.23,0,0,0.8,0.25,0,0.3,100,95,14,0.51,0.47,0.037,3.4,136,30,0,0,0,0.051,0.041,0.026,0.064,0.074,0.232,0.715,0.245,0.04,0.874,0.003,0,0.245,0.014,0,0.003,0.001,0.002,0,67.45
Fish sauce,27150210,8404,Soy-based condiments,35,5.06,3.64,3.64,0,0.01,0.003,0.002,0.003,0,4,4,0,0,0,0,0,0.012,0.057,2.313,0.396,0,51,51,51,13.2,0.48,0,0.5,0,0,0,0,43,7,175,0.78,0.2,0.05,9.1,288,7851,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0.002,71.07
"Fish, anchovy",26101110,2402,Fish,210,28.89,0,0,0,9.71,2.203,3.77,2.562,85,12,12,0,0,0,0,0,0.078,0.363,19.903,0.203,0,13,13,13,85,0.88,0,0,1.7,3.33,0,12.1,232,252,69,4.63,2.44,0.339,68.1,544,3668,0,0,0,0,0,0,0,0.02,0.428,1.326,0.42,0.59,2.942,0.009,0.163,0.362,0.017,0.078,0.01,0.763,0.041,1.292,50.3
"Fish, bass, fried",26141140,2402,Fish,238,15.93,11.72,0.2,0.5,13.69,2.051,5.371,5.189,37,32,32,0,0,0,0,10,0.216,0.16,2.243,0.286,20,8,41,28,53.1,0.23,0,0,4.3,2.88,0,12,22,170,36,1.12,0.45,0.042,30.9,219,395,0,0,0,0,0,0,0,0,0.044,1.438,0.469,0.143,5.141,0.079,0,4.114,0.518,0.035,0,0.122,0.058,0.33,56.65
"Fish, bass, NFS",26141110,2402,Fish,161,22.9,0.01,0.01,0,7.02,1.821,2.136,2.224,55,68,69,0,9,0,0,0,0.116,0.142,1.987,0.476,0,6,6,6,75.9,0.34,0,0,7,1.72,0,3.9,13,241,51,0.36,0.5,0.024,45.3,319,300,0,0,0,0.032,0.022,0.013,0.03,0.036,0.175,1.048,0.414,0.187,1.914,0.021,0,1.186,0.145,0.057,0.002,0.2,0.095,0.539,67.91
"Fish, catfish, NFS",26107110,2402,Fish,255,13.49,11.72,0.2,0.5,16.68,2.658,7.005,5.475,48,3,3,0,0,0,0,10,0.158,0.133,2.627,0.118,20,11,45,31,56.3,2,0,0,0.2,2.86,0,13.6,21,178,19,1.07,0.51,0.052,9.4,254,418,0,0,0,0,0,0,0,0.002,0.049,1.907,0.58,0.148,6.688,0.134,0.002,4.704,0.573,0.002,0.034,0.013,0.011,0.043,57.25
